"Name","Start","End","Duration"
"Active","7/10/2013 7:37:02 AM","7/10/2013 7:37:57 AM","0:00:55"
"Away","7/10/2013 7:37:57 AM","7/10/2013 8:25:59 AM","0:48:02"
"Active","7/10/2013 8:25:59 AM","7/10/2013 8:34:09 AM","0:08:10"
"Away","7/10/2013 8:34:09 AM","7/10/2013 9:36:15 AM","1:02:06"
"Active","7/10/2013 9:36:15 AM","7/10/2013 10:17:48 AM","0:41:33"
"Away","7/10/2013 10:17:48 AM","7/10/2013 11:01:11 AM","0:43:23"
"Active","7/10/2013 11:01:11 AM","7/10/2013 11:31:17 AM","0:30:06"
"Away","7/10/2013 11:31:17 AM","7/10/2013 12:27:01 PM","0:55:44"
"Active","7/10/2013 12:27:01 PM","7/10/2013 3:20:35 PM","2:53:34"
"Away","7/10/2013 3:20:35 PM","7/10/2013 3:34:14 PM","0:13:39"
"Active","7/10/2013 3:34:14 PM","7/10/2013 4:44:33 PM","1:10:19"
"Away","7/10/2013 4:44:33 PM","7/10/2013 5:05:15 PM","0:20:42"
"Active","7/10/2013 5:05:15 PM","7/10/2013 5:12:01 PM","0:06:46"
"Active","7/11/2013 8:08:35 AM","7/11/2013 8:16:04 AM","0:07:29"
"Away","7/11/2013 8:16:04 AM","7/11/2013 8:29:27 AM","0:13:23"
"Active","7/11/2013 8:29:27 AM","7/11/2013 8:43:43 AM","0:14:16"
"Away","7/11/2013 8:43:43 AM","7/11/2013 8:55:10 AM","0:11:27"
"Active","7/11/2013 8:55:10 AM","7/11/2013 9:17:50 AM","0:22:40"
"Away","7/11/2013 9:17:50 AM","7/11/2013 9:46:19 AM","0:28:29"
"Active","7/11/2013 9:46:19 AM","7/11/2013 9:57:12 AM","0:10:53"
"Away","7/11/2013 9:57:12 AM","7/11/2013 10:08:58 AM","0:11:46"
"Active","7/11/2013 10:08:58 AM","7/11/2013 12:14:17 PM","2:05:19"
"Away","7/11/2013 12:14:17 PM","7/11/2013 12:35:32 PM","0:21:15"
"Active","7/11/2013 12:35:32 PM","7/11/2013 3:10:06 PM","2:34:34"
"Away","7/11/2013 3:10:06 PM","7/11/2013 3:21:58 PM","0:11:52"
"Active","7/11/2013 3:21:58 PM","7/11/2013 4:31:13 PM","1:09:15"
