"Name","Start","End","Duration"
"Active","7/10/2013 7:37:02 AM","7/10/2013 7:37:57 AM","0:00:55"
"Away","7/10/2013 7:37:57 AM","7/10/2013 8:25:59 AM","0:48:02"
"Active","7/10/2013 8:25:59 AM","7/10/2013 8:34:09 AM","0:08:10"
"Away","7/10/2013 8:34:09 AM","7/10/2013 9:36:15 AM","1:02:06"
"Active","7/10/2013 9:36:15 AM","7/10/2013 10:17:48 AM","0:41:33"
"Away","7/10/2013 10:17:48 AM","7/10/2013 11:01:11 AM","0:43:23"
"Active","7/10/2013 11:01:11 AM","7/10/2013 11:31:17 AM","0:30:06"
"Away","7/10/2013 11:31:17 AM","7/10/2013 12:27:01 PM","0:55:44"
"Active","7/10/2013 12:27:01 PM","7/10/2013 3:20:35 PM","2:53:34"
"Away","7/10/2013 3:20:35 PM","7/10/2013 3:34:14 PM","0:13:39"
"Active","7/10/2013 3:34:14 PM","7/10/2013 4:44:33 PM","1:10:19"
"Away","7/10/2013 4:44:33 PM","7/10/2013 5:05:15 PM","0:20:42"
"Active","7/10/2013 5:05:15 PM","7/10/2013 5:11:10 PM","0:05:55"
